customer_id,customer_gender,kids_home,teens_home,number_complaints,distinct_stores_visited,lifetime_spend_groceries,lifetime_spend_electronics,typical_hour,lifetime_spend_vegetables,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_hygiene,lifetime_spend_videogames,lifetime_spend_petfood,lifetime_total_distinct_products,percentage_of_products_bought_promotion,year_first_transaction,total_spend,age,has_loyalty_card
3,0,1.0,1.0,1.0,3.0,11731.0,4553.0,12.0,373.0,323.0,177.0,28.0,213.0,552.0,256.0,384.0,189.0,0.631598739079086,2020.0,18590.0,56.0,1
4,0,1.0,0.0,0.0,2.0,13694.0,963.0,12.0,2012.0,533.0,95.0,43.0,15.0,1880.0,333.0,665.0,130.0,0.1498902493395143,2013.0,20233.0,50.0,1
5,1,0.0,0.0,1.0,2.0,12407.0,0.0,11.0,555.0,101.0,118.0,1265.0,273.0,507.0,101.0,222.0,81.0,0.0691255069323915,2005.0,15549.0,54.0,0
7,1,0.0,0.0,2.0,1.0,7493.0,1105.0,18.0,84.0,757.0,1133.0,972.0,1083.0,485.0,736.0,184.0,92.0,0.253609260797035,2021.0,14952.0,43.0,1
8,1,0.0,0.0,3.0,1.0,9187.0,8297.0,17.0,380.0,592.0,718.0,1068.0,1015.0,297.0,736.0,441.0,6.0,0.1865687348395157,2021.0,25797.0,56.0,1
9,0,1.0,1.0,1.0,6.0,16530.0,1156.0,6.0,1708.0,406.0,363.0,27.0,76.0,513.0,225.0,327.0,84.0,0.1506456602849799,2011.0,21004.0,57.0,1
10,1,2.0,1.0,0.0,1.0,22240.0,1470.0,9.0,1284.0,538.0,1910.5,1397.0,1723.0,886.0,203.0,119.0,202.0,0.2754122773297123,2014.0,30360.0,55.0,1
11,1,1.0,1.0,1.0,6.0,29765.0,1543.0,10.0,190.0,411.0,641.0,871.0,731.0,1240.0,736.0,397.0,180.0,0.1642509924715683,2017.0,37638.0,48.0,1
12,0,0.0,0.0,0.0,2.0,9281.0,254.0,18.0,125.0,60.0,1549.0,139.0,598.0,673.0,71.0,64.0,29.0,-0.1311760446219992,2018.0,12814.0,26.0,0
14,1,1.0,0.0,1.0,3.0,7981.0,2151.0,12.0,1659.0,799.0,125.0,148.0,24.0,1393.0,178.0,90.0,57.0,0.1973528031772604,2017.0,14548.0,77.0,1
15,1,0.0,1.0,0.0,3.0,7237.0,591.0,7.0,1807.0,507.0,42.0,304.0,176.0,2237.5,153.0,441.0,154.0,0.1113161982340499,2014.0,13570.0,77.0,1
16,0,0.0,0.0,1.0,7.0,11107.0,108.0,15.0,620.0,162.0,182.0,1094.0,487.0,607.0,89.0,683.0,37.0,1.0,2021.0,15139.0,25.0,1
18,1,0.0,1.0,2.0,1.0,10490.0,8297.0,20.0,104.0,574.0,705.0,1249.0,737.0,205.0,667.0,550.0,134.0,0.4091402734153587,2018.0,28953.0,29.0,1
19,0,1.0,2.0,3.0,3.0,8264.0,1660.0,19.0,266.0,399.0,514.0,1024.0,1405.0,819.0,168.0,533.0,65.0,0.157528602099963,2007.0,15052.0,78.0,1
20,0,1.0,0.0,1.0,5.0,35044.0,78.0,20.0,395.0,567.0,621.0,1000.0,910.0,1560.0,285.0,255.0,253.0,0.4308490612060748,2017.0,40715.0,80.0,1
22,1,1.0,1.0,1.0,3.0,15333.0,883.0,14.0,1325.0,551.0,257.0,117.0,150.0,2057.0,100.0,473.0,205.0,0.0320563109521218,2019.0,21246.0,82.0,1
24,0,1.0,1.0,0.0,2.0,20270.0,1816.0,17.0,2118.0,507.0,408.0,40.0,53.0,890.0,238.0,342.0,139.0,0.0660401921930587,2012.0,26682.0,59.0,1
25,1,0.0,0.0,1.0,2.0,8829.0,345.0,8.0,471.0,121.0,1657.0,1028.0,758.0,91.0,475.0,44.0,61.0,0.6532370294994334,2029.0,13348.0,25.0,1
26,1,2.0,1.0,1.0,4.0,39047.0,3650.0,11.0,126.0,721.0,739.0,532.0,920.0,1101.0,268.0,499.0,126.0,0.2331716143295922,2019.0,80542.0,34.0,1
27,0,1.0,0.0,0.0,2.0,12067.0,274.0,22.0,471.0,125.0,177.0,811.0,157.0,243.0,52.0,210.0,16.0,0.5625619630219125,2016.0,14116.0,37.0,1
28,1,2.0,1.0,2.0,1.0,9842.0,2173.0,12.0,311.0,193.0,691.0,422.0,566.0,485.0,736.0,301.0,35.0,0.6308553294317327,2020.0,15766.0,34.0,1
29,0,1.0,0.0,0.0,5.0,10232.0,2309.0,14.0,338.0,280.0,595.0,438.0,821.0,1067.0,225.0,454.0,127.0,0.5897405207838152,2011.0,16759.0,66.0,1
30,0,1.0,0.0,1.0,1.0,8793.0,3285.0,9.0,2219.0,477.0,281.0,42.0,511.0,613.0,162.0,47.0,73.0,0.074966511144387,2008.0,15919.0,45.0,1
31,0,0.0,0.0,1.0,2.0,6520.0,3754.0,23.0,292.0,473.0,913.0,653.0,882.0,589.0,736.0,546.0,54.0,0.3058264810330052,2016.0,15773.0,53.0,1
33,1,0.0,0.0,0.0,5.0,8225.0,2873.0,23.0,815.0,503.0,199.0,924.0,511.0,678.0,33.0,678.0,89.0,0.0219439132124308,2021.0,14928.0,86.0,1
34,0,0.0,1.0,1.0,1.0,13396.0,1321.0,9.0,439.0,326.0,5.0,696.0,523.0,670.0,736.0,739.5,60.0,0.0849881318023555,2010.0,19500.0,68.0,1
35,1,1.0,1.0,0.0,2.0,37795.0,2130.0,8.0,636.0,102.0,310.0,890.0,844.0,842.0,42.0,524.0,212.0,-0.0255236179443299,2011.0,44115.0,46.0,1
36,0,4.0,0.0,0.0,3.0,32925.0,5770.0,14.0,1083.0,759.0,1737.0,1300.0,956.0,1451.0,372.0,327.0,305.0,0.1165796006586249,2006.0,46680.0,53.0,1
37,1,1.0,1.0,0.0,5.0,25539.0,1089.0,7.0,907.0,1238.5,896.0,1153.0,962.0,1205.0,344.0,329.0,330.0,-0.1848199878391639,2028.0,34105.0,25.0,1
38,0,1.0,0.0,1.0,6.0,8371.0,205.0,13.0,218.0,379.0,316.0,493.0,1512.0,249.0,94.0,328.0,151.0,0.0615688647714884,2014.0,12165.0,48.0,1
39,0,1.0,1.0,1.0,4.0,37097.0,2598.0,14.0,283.0,246.0,706.0,1243.0,680.0,2237.5,263.0,359.0,302.0,0.4942214328019912,2007.0,45844.0,38.0,1
40,0,1.0,2.0,0.0,7.0,26555.0,7141.0,10.0,1327.0,379.0,1838.0,1773.0,1429.0,1428.0,223.0,380.0,266.0,0.2274411335550715,2009.0,42250.0,66.0,1
41,0,1.0,1.0,1.0,6.0,1806.0,1248.0,17.0,1963.0,398.0,325.0,55.0,47.0,595.0,126.0,199.0,91.0,0.1269068530725506,2013.0,6762.0,79.0,1
42,0,2.0,0.0,2.0,1.0,8496.0,1068.0,11.0,284.0,17.0,668.0,446.0,633.0,381.0,171.0,268.0,42.0,0.4197566063956281,2014.0,12432.0,36.0,1
44,0,2.0,1.0,0.0,3.0,10440.0,3659.0,8.0,1966.0,956.0,304.0,368.0,266.0,1635.0,95.0,271.0,84.0,0.2426026354063847,2016.0,19960.0,85.0,1
